"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"API","Login","Positive Login Scenarios","0","0","1","0","0"
"API","Registration","Edge Cases","0","0","2","0","0"
"API","Login","Edge Cases","0","0","3","0","0"
"API","Login","Negative Login Scenarios","0","0","5","0","0"
"API","Registration","Positive Registration Scenarios","0","0","3","0","0"
"API","Login","Security Testing","0","0","2","0","0"
"API","Registration","Duplicate User Registration","0","0","1","0","0"
"API","Registration","Negative Registration Scenarios","0","0","4","0","0"
"API","Login","Response Validation","0","0","1","0","0"
